idx,target,year,is_future,prefix
1089,occasion,1454,0,Somme ther be whiche that [in] theyr ymagynacion conceyue by their natural pryncyplis how thurgh those secrete partis the generacion of man pryncypally is
1090,oracle,1425,0,"I..cam to an yle..Whiche specialy þoruȝ hiȝ power devyne Ordeyned is of ȝore be myracle, As it were, a spiritual"
1091,oracle,1569,0,"Blake's Milton and Jerusalem , like Wordsworth's Prelude , establish the poet as an oracular speaker; Coleridge, in the Biographia , declared critics uniquely qualified to interpret the"
1092,palpable,1395,0,"Spirits..are therefore really Bodies; though that name in common Speech be given to such Bodies onely, as are visible, or"
1093,palpable,1395,0,"The Devil would so manage himself by the motion..of his body, which by this Systaltick power he could make tangible and"
1094,paperback,1843,0,"A pre-packaged and easily excisable clump of praise, suitable for framing on the back of the book when it comes out in"
1095,parasitic,1870,0,"The consonants most difficult to make, the trills l, r , and the gutturals c, g, h , are often accompanied by an involuntary sympathetic movement of other parts of the organs, which produces what may be called a"
1096,parenting,1918,0,"You are annoying Papa, so you must go to bed, said Mr. Jarr, forgetting the philosophy of perfect"
1097,parenting,1918,0,"The single-minded, unconditional desire..to provide a loving, caring home, which is the hallmark of good"
1098,parole,1646,0,"The Christian had a Noble Soul, And when he saw 'em thus condole, He grants 'em Freedom on"
1099,patio,1845,0,"The preparation of magistral, an indispensable agent in the amalgamation by"
1100,patio,1845,0,The balance of the mercury used..would have been released to the atmosphere during..the amalgamation process on the open
1101,peach,1710,0,"Phrases such as camps may teach,..Such as ‘Bully!’ ‘Them's the"
1102,pebble,1875,0,"Rock Slide, a soft vegetable retanned leather with great handle, attractive surface feel and subtle minimalist"
1103,pessimistic,1854,0,"The Bourse is actually going stark staring mad; their optimistic views, cherished so long in anticipation of the maintenance of peace, have of late been metamorphosed into the most"
1104,pitcher,1707,0,In making new hedges it is usual to stipulate ‘to be planted with good withy or elder pitches’ or ‘
1105,plough,1175,0,"The husbandman ought not for one vnthankful yeer, to forsake the"
1106,politely,1624,0,"Echinus , a Bottle cut with an Edg, as in our Bloome tis rudely explain'd... Ovals and Darts (by our Workmen call'd Eggs and Ankers as little"
1107,polymerase,1948,1,"Attempts were made to increase the yield of desoxyribonucleic acid by adding citrate or phosphate ions to the glycine solution in order to bind magnesium ions, which presumably activate nucleases or"
1108,populace,1742,0,"How peacefully the commonwealth of ants Together dwell, within a narrow space A myriad-swarming thriving"
1109,positioning,1884,0,"In equitation our aim is to place our horse always in the correct balance for the movement that we require, which we call ‘"
1110,pouch,1399,0,The Barbary Ape has a face not much unlike that of a dog... The cheeks are furnished with
1111,predicament,1425,0,"Let it be permitted to me to call these pure, but deduced understanding-conceptions, the Predicables of the pure understanding (as opposed to"
1112,predicament,1586,0,"It has been upon different occasions remarked, that the constitutions of several of the states are in a similar"
1113,primordial,1786,0,The outermost layer of the primary meristem which covers the punctum vegetationis together with its apex is the immediate continuation of the epidermis of the older part which lies further backwards; it may therefore be termed the
1114,provocation,1485,0,The overwhelming Christian population of Westphalia..could regard the appearance of Rosenberg only as an outright
1115,provocation,1671,0,"Killing, which would otherwise be murder, is culpable homicide if the act causing death is done in the heat of passion, caused by"
1116,provocation,1857,0,"He..should become fondly enamourd of a young Lady, and grow so extravagant in that passion, as to attempt a reparation to the decays of nature by artificial"
1117,prudence,1393,0,"At Rome also Was Tullius with Cithero That writen..Hou that men schal the wordes pike After the forme of eloquence, Which is, men sein, a gret"
1118,pull,1390,0,"Ther hasti deemyng so bestial is & dull, On blynde Baiard thei braiden at a"
1119,pull,1500,0,The wenche fyllyd a dyssch stofull And bade the outlawe drynke a
1120,quarrel,1566,0,Those friends with whom too often I sat down beside the barrel and drank the whole damned evening dry without a word of
1121,quart,1590,0,Albanact had all the Northerne part..And Camber did possesse the Westerne
1122,rationally,1610,0,"In the vse of Tabacco, and such hot medicines there must be a great discretion that all be done in due season, and"
1123,recruiting,1644,0,"Which sort of life he had followed uninterruptedly, without ever joining his regiment, till he was now obliged..to take some of the duty in his turn, and was ordered a"
1124,rectify,1586,0,"Should it happen that the leader deviates, in stretching the chain, from the direction AB, the follower must warn and"
1125,reflexive,1648,0,"Though the Glory of thy Essence, cannot receive any increase by this reflection, yet thou art pleased everlastingly to perpetuate this thy"
1126,regenerate,1606,0,"Sober Wits, Rest satisfied, conceaving that..God the Fruites of Flesh and Blood dooth hate: And that through Christ we must"
1127,regenerate,1869,0,"To restore the waste heat into the generator, furnaces are now being put up by Messrs. Hannah & Sons, where pretty nearly all the heat will be"
1128,rein,1297,0,"A destrer þo ladde Agreuein, And toke it Gaheriet bi þe"
1129,relocation,1804,0,An alleged failure to maintain mining claims in conformity to law while an appeal of a mining contest decision..is pending does not moot the appeal if the claims are subject to
1130,remission,1425,0,The mind cannot without a strain be ever at one pitch..it must have its intervals of intension and
1131,renowned,1619,0,The young travelling virtuoso was portrayed by painters ranging from the unknown to the
1132,reparation,1966,1,"The inquiry..will assist in the state's treaty negotiations with Aboriginal communities, potentially including the payment of"
1133,repent,1325,0,"She..in that gret wrethe out of the paleyce went, Seying to herself that chere shuld þey"
1134,repercussion,1834,0,"I believe I first pointed out this mode of examination in my translation of the work of Madame Boivin, ‘On Diseases of the Uterus’, and suggested that it should be called hypogastric"
1135,retaliation,1546,0,"As from God to men in matters of grace and internall benediction, so of men to God for temporall tribute, and thankefull"
1136,retaliation,1546,0,"I pray let me injoy it in that fair proportion, that I desire to return unto you, by way of correspondence, and"
1137,retort,1599,0,"This Line..Render..so direct, that in no sort It ever may in Rings"
1138,revisit,1737,0,"Typically, they contain information about what you've done on previous visits to particular websites, and the website looks at them whenever you"
1139,roar,1393,0,"The slipp'ry God..he seem a bristly Boar, Or imitates the Lion's angry"
1140,saying,1340,0,"One of the great tragedies of life is that men seldom bridge the gulf between practice and profession, between doing and"
1141,saying,1400,0,"On seuen maners ar þai [ sc. sins] for-giuen,..Of hali water þe strenkling, And thoru þe pater noster"
1142,scalar,1959,1,"A selection from indefinitely many possible scales, which in any case would only provide for associative meaning in so far as it is explicable in"
1143,scarf,1688,0,"He beareth Argent, a Scarpe Purpure, of some termed a"
1144,scenic,1824,0,"Wilson's bleak water-pieces, Holland's coast scene, Davis's wild heath-covered hills..and Hofland's landscapes, compose the principal attractions in"
1145,sclerosis,1543,0,"This inflammation occurs in the liver or the kidneys where it is known as cirrhosis, when in the brain or cord, it is called"
1146,seating,1960,1,"Never wear a slick, straight skirt without a tight-fitting slip beneath... That way there'll be no ‘"
1147,selectivity,1903,0,"The sharper is the resonance curve the better it will select, for supplies at frequencies quite near the resonant one will have very much less effect. The sharpness of the curve is therefore a measure of the"
1148,settled,1910,0,"The stallions were put to work on the farms, which..enabled the stallion to have regular exercise, a requisite for a high percentage of"
1149,shake,1622,0,"The most severe earthquake occurred that I had yet felt... The natives..acknowledged that they had never experienced so bad a ru , or ‘"
1150,shake,1875,0,"If these jokers want to tail us, they've damn well got to do it properly from behind. Overtake and give them the"
1151,shutter,1918,0,The temperature of the water is controlled by thermostatically-operated radiator
1152,side,1400,0,"Þe bor so loude cride, Out of þe forest wide and"
1153,side,1400,0,"Their Formes doo vanish, but their bodies bide; Now thick, now thin, now round, now short, now"
1154,sinister,1474,0,The Secret Service..concluded that the writer's wartime flirtation with the Nazis was the result of his being ‘a silly ass’ rather than anything more
1155,situational,1916,0,"In contrast with such a naive syllogistic procedure is the logic underlying the opinion of the liberal judges. For want of better terms I shall call this the functional, genetic, evolutionary, or"
1156,slate,1500,0,"Letters..painfully engrav'd in thin wrought plates, Some cut in wood, some lightlier trac'd on"
1157,slate,1340,0,"A greate citie, consisting of houses made of Earth, and couered ouer with broade stone or"
1158,smallpox,1793,0,The vesicular lesions of sheeppox caused the disease to be called variola ovina or sheep
1159,small-scale,1851,0,A very great deal of attention has been paid to the small or geographical work of the Survey... I fully endorse the view of my predecessor as to the importance of this
1160,southward,1350,0,"It lies in the midst of Golpho de Thame-Isis: The Christian-shore lying to the Norward, and the Turkish-shore to the"
1161,stall,1415,0,"All her sisters out she calles, Infernall hideous haggs, and to their turmentes them she"
1162,standout,1826,0,The Shipwrights of our port are standing out for an advance of wages... They boasted of six months' means in club to support the
1163,starter,1519,0,"Were I thy Confessor,..Dost think that I'de allow thee any Quarter, No—thou should'st find what 'tis to be a"
1164,starter,1766,0,"The next day was also a failure, as we searched all day, but could not start a fox; some tracks, but none fresh enough for a"
1165,starter,1614,0,"Squire let him [ sc. Rosinante] loose, or leave him to the Carter, And help t' untrusse, I'm sure he is no"
1166,starter,1892,0,"There has been one major addition to the lobby: turnstiles that require a card key. ‘That was after 9/11,’ said Rene Sanabria, 57, an elevator"
1167,starter,1846,0,We talk of having a little local exhibition the coming winter by way of a
1168,starter,1846,0,"Take a French quarter, a German, a Syrian, a Chinese, an Italian; it makes no difference what. The nationality that interests most, or the one, if any, of whose language there may be a smattering, is a good"
1169,sterling,1601,0,Monies of this new Standard of Ireland..being brought back againe to the Exchange to be converted in
1170,sterling,1601,0,"The lay treasurer of the society, who said that for a long time he had been opposed to the payments in India being made in"
1171,sterling,1894,0,"Overseas countries, especially those of the Commonwealth, were content during the war to sell more to Britain than they bought from her, and to take bank deposits in London..in payment of the difference. These were the famous ‘"
1172,sterling,1641,0,"Setting aside the odde coinage of your phrase, which no mintmaister of language would allow for"
1173,sterling,1488,0,"Five Silver-Hilted Swords, the Hilts of which are found upon the Tryal, more then one Shilling in every Ounce worse than the"
1174,sting,1548,0,I was a good deal surprised by finding two species of coral..possessed of the property of
1175,stipulation,1623,0,"Concerning the Form, so precise were the ancient Romans in the observation thereof, that they did not for a long time admit any other manner of contracting Spousals, but by"
1176,stray,1398,0,"Russet Lawns, and Fallows Gray, Where the nibling flocks do"
1177,stressor,1950,1,"The term ‘systemic stress’ is sometimes loosely employed also to denote the stimuli which cause systemic stress. In this sense, it is preferable however, to speak of alarming stimuli or ‘"
1178,string,1714,0,"My Accusations..are so well founded, that was there, (as we say in Scotland) a right sitting Sheriff, I would not doubt to see some Gentlemen"
1179,subroutine,1946,1,"We call the coded sequence of a problem a routine, and one which is formed for the purpose of possible substitution into other routines a"
1180,suction,1626,0,The internal digestive apparatus [of the leech] is evidently adapted..to form a capacious reservoir for the reception of fluids taken in by
1181,suction,1658,0,"One may remark within the..œconomy of nature, sundry sorts of attractions: as that of"
1182,suction,1658,0,"That adaptation of the plate to the mucous membrane which is necessary to keep out particles of food, or to make perfect"
1183,summons,1385,0,"Letters or Precepts of Arrestment upon any depending Action may be granted summarily, upon Production of the libelled"
1184,supposition,1449,0,"Who knowes not the double motion of the plannets? The first is finisht in a naturall day, The second thus, as Saturne in 30. yeares,..the Moone in 28. dayes. Tush these are fresh mens"
1185,supposition,1728,0,"There is a way in Division of making use of Discords, upon the Second accented Part of the Bar, which way is called"
1186,supposition,1728,0,"Discords..may be..used without..regular preparation and resolution, though they are then no longer considered in the light of discords but passing or transient notes. [ margin ] Discords by"
1187,supposition,1728,0,"The perfect triad..can be either major or minor, and the dissonant seventh chord..is derived from the triad by the addition of a major or minor third. All other chords are shown to be derived..by inversion or by"
1188,suspended,1832,0,"When an ovulum..hangs from the summit of the cavity, it is pendulous ; and when from a little below the summit, it is"
1189,tail,1750,0,"As down towards Barton Wold we sail, The Cockneys soon began to"
1190,taking,1541,0,"Abateth the raging pain of the Gout, inflamations and swellings, blasts or"
1191,taking,1808,0,Matter with head or first lines larger than the body to be charged according to the depth of the body of the
1192,tensor,1846,0,"Since the operation denoted by a quarternion consists of two parts, one of rotating OA into the position OB and the other of extending OA into the length OB, a quaternion may be..represented as the product of two factors,..the versor..and..the"
1193,testosterone,1935,1,Many mammary cancers would regress when the influence of the female sex hormone was lessened by removal of the ovaries or by injections of
1194,thrombosis,1857,0,"With regard to the circumstances under which a thrombus is formed, we find that retardation of the circulation is common to all varieties of"
1195,toast,1842,0,"A delicate roast..Dress'd like a Woodcock, and serv'd on"
1196,topology,1850,0,"We need a knowledge not only of topography, but..of that..sister science which has been christened ‘"
1197,touching,1400,0,"Tel Aviv..has a special way of engaging all the senses: it heightens our seeing, hearing, smelling, feeling and"
1198,tracer,1938,1,The Russian workers..have investigated the action of modifying agents in the extraction..of metals..using radioactive
1199,traction,1914,0,"This second division of current transportation is called by certain French engineers entraînement but has received no name in English. Being in need of a succinct title, I translate the French designation..by the word"
1200,trance,1374,0,"Þe verray custom & þe pleyn vsaunce Of þis loveris, hangyng in a"
1201,twilight,1440,0,"At once the bright-effulgent Sun, Rising direct, swift chases from the Sky The short-liv'd"
1202,typology,1886,0,Hardly any concept in contemporary American psychology has been so thoroughly criticized as that of
1203,universality,1565,0,The pope is the representative of God on earth; he should then govern the world. To him alone pertain infallibility and
1204,unlock,1400,0,Mr. Chamberlain was the strong man who held the keys and could both lock and
1205,unlock,1470,0,"How happy's he, that by a faithful knock Can make the yeelding Gates of Heav'n"
1206,unlock,1996,1,The SIM Lock can be deactivated to allow a customer to switch to another network or service provider..but operators often charge a significant fee before they provide the information necessary to
1207,unreal,1825,0,Shareability of perception is what distinguishes the real from the
1208,valence,1917,0,A certain object or event..is experienced as an attraction (or repulsion)... We shall say of such objects that they possess a ‘
1209,vibrate,1774,0,"If we strike a bell, or a stretched string, for instance,..a single blow produces a sound..which is multiplied as often as it happens to undulate, or"
1210,vinegar,1315,0,All sources of alcohol may be regarded as possible materials for making
1211,vomiting,1495,0,"The Water..has upon the gazer the operation of a rapid stream, and by making him giddy, hastens and facilitates his"
1212,vomiting,1495,0,"A mild vegetable aliment, where aliment can be taken without inducing sickness, or exciting"
1213,vomiting,1881,0,"The steam from the pipe A heats the liquor..and forcing it up the wide pipe C, causes it to strike against the dome or bonnet D... This is technically called ‘"
1214,warming,1874,0,"This style,..of wintering cattle, is called ‘Roughing’, and the feeding of corn in the spring is termed ‘"
1215,waterfall,1522,0,Water-wheel motion can very effectively turn a generator if your home and property include a stream or creek with a sufficient
1216,whip,1890,0,"I was put into the piece ‘ship’ on the paper, where I can truly say I held my own, though I was no"
1217,willow,1490,0,The pressure of the external air will then force the mercury through the pores of the hazel or
1218,abduction,1632,0,"This exemption of Clergie was leuelled onely against Burglaries, and felonious rapes by violence,..leauing vnto couetous rauishers by"
1219,abduction,1657,0,"If we consider how they [the muscles] can stir the limb inward and outward, they can perform adduction,"
1220,ablation,1903,0,"The base level for wind action is that of the water table, which may be far below sea level. The ‘pans’ of S. Africa..and the more impressive depressions and oases of Egypt and Libya have all been excavated by"
1221,abrasion,1550,0,"Two thynges in women make hourely theyr inuasion, Enducyng them euer to warkes vituperable: For all vertue these two be chyef"
1222,abrasion,1550,0,"They [ sc. teeth] never change by age, and seem never to undergo any alteration, when completely formed, but by"
1223,abrasion,1550,0,"The coinage, in the very nature of things, must be for ever, unit by unit, falling under depreciation by the mere action of ordinary and unavoidable"
1224,abuser,1500,0,There are houses which find it difficult to avoid abuse of credit facilities if they wish to retain the custom of the
1225,abuser,1572,0,"There was still the sullenness that she had remembered, with its suggestion of sneering superiority to abuse and"
1226,abuser,1572,0,"A man's words also have an influence on himself, and abuse conveys an instruction to the"
1227,accord,1393,0,"That we see one event succeeding another in a regular and constant sequence, but we see nothing connected with the bodies to account for this,—to this we refuse our"
1228,accretion,1626,0,Erosion occurs mostly during the monsoon months and the sea brings back the beach at the end of the monsoon in a process called
1229,accretion,1656,0,"They [ sc. languages] agree, with a single doubtful exception, in the agglutinating or synthetic method, called by Humboldt incorporation, by Cass, coalescence, and by Schoolcraft,"
1230,accretion,1756,0,"It is enough to survey the various modes of original acquisition of territory, from discovery and prescription to the minor instances of alluvion and"
1231,acidosis,1900,0,"I've had a series of six cases, and in each one you have petit-mal seizures plus an unstable pH which fluctuates between a mild alkalosis and"
1232,acidosis,1900,0,"Featherstone knew his patient's kidneys and liver could malfunction, increasing lactic acid and potassium in his blood to toxic levels, a condition known as"
1233,adenosine,1909,0,"The second nucleoside has practically the same crystalline appearance as inosine and guanosine, and differs from these two only by its physical constants and by the fact that on hydrolysis it yields in place of guanine the base adenine, and is, therefore, named"
1234,admirably,1570,0,"Two of the three individual commentaries..are indescribably boring, and the deleted scene justifies its omission"
1235,adoration,1443,0,The Church may draw fine and aërial distinctions between images as objects of reverence and as objects of
1236,adoration,1443,0,"After three futile attempts, she was filled with conviction of the Real Presence, and fell upon her knees in humble"
1237,adoration,1567,0,Her one-time prince now responded with barely concealed irritation to her plaintive demands for
1238,adrenaline,1893,0,"Why should they not, asked Dr. Wilks, be saved by administering adrenals? Every week he looked in the journals to see whether some of his younger colleagues at Guy's had not attempted something in the way of the therapeutics of ‘"
1239,affluence,1390,0,"What euer in this worldly state Is sweete..Was poured forth with plentifull dispence, And made there to abound with lauish"
1240,agitator,1647,0,They are ‘Agents’ to the Army: a class of functionaries called likewise ‘Adjutators’ and misspelt ‘
1241,aloft,1393,0,While some aërial beings sighing soft Round once-lov'd Maids their guardian wishes plead: Spirits of Torment shrilly speak
1242,aloft,1634,0,"‘The bear, the bear!’ screamed Kingdon, and swimming a few strokes along the soft, green grass, he grabbed the bear and waved him"
1243,ambush,1573,0,"When they scattered into the bush.., he gave up the chase. Next time he would lay a more successful"
1244,amortization,1607,0,"The restraint of the Laitie from any longer..passing over their fee to the Abbey, without speciall licence of the King, by the Stat. of Mortmaine, or the law of"
1245,analgesia,1706,0,"In these cases there are, however, two varieties of anæsthesia, viz. insensibility to touch, and insensibility to pain, better termed"
1246,ancillary,1963,1,"The units under his control would suddenly stop purchases from some privately-owned ancillaries ... Krishnamurthy would then..ask his sons to negotiate to buy up these units. And before you knew it, the dried-up orders would start coming again to the"
1247,annihilate,1939,1,Most of positrons penetrate through the cellophane foil and reach the walls of the source room where they
1248,annotation,1982,1,"Our study includes a near-complete representation and localization of genes, repeat elements, and sRNA, as well as functional and metabolic"
1249,answering,1330,0,Quaþ Merlin..‘Y wil þe telle and noþing lyȝe What þe dragouns signifie’—Þat gentil folk and eke þe king Awondred of his
1250,answering,1425,0,"Þer cam out men..Pleying by signes in þe peples siȝt, Þat þe poete songon on hiȝt; So þat þer was no maner discordaunce Atwen his dites and her countenaunce: For lik as he aloft [e] dide expresse Wordes of Ioye or of heuynes..byneþe of hem pleying, From point to point was alwey"
1251,anteriorly,1681,0,Parliament could not pass an Act to revive a Patent which had lapsed..because it would be legislating posteriorly with reference to something which occurred
1252,aphid,1884,0,"The aphis feeds, nor finds his leaf Untenable, because..Lightning strikes sere a moss-patch close beside, Where certain other"
1253,articulated,1608,0,"Such pure bodies haue nor teeth, nor tongues, Lips, artires, nose, palate, nor panting lungs, Which rightly plac't are properly created True instruments of sounds"
1254,ascending,1676,0,"Ascenders, all the capital letters, and the b, d, f, h, i, j, k, l, t , so called because they ascend to the top of the body of the types. A colloquial phrase for"
1255,asking,1200,0,"McRosty..was last year's ‘discovery’, obtaining his Blue at the first time of"
1256,asking,1549,0,"He fell in loue with Sirinxe a nimph of Arcadie, who would neither giue her head as they say for the washing, nor her virginitie for the"
1257,asking,1549,0,"Equally rewarding are backpacking trips in the Rockies, where ‘see-forever’ views are yours for the"
1258,asking,1330,0,"At last I began to be yeelding Vnto a Loues conquest: and these armes made me be yeelding, Long patience,..teares, importunat"
1259,asking,1330,0,"Those Learned, Moderate Bishops..whose Pens are to bear witness against These now in Being, and Authority, if they refuse their"
1260,asking,1330,0,Imitate our Lord Jesus Christ in your praying for yourselves. Imitate him..in all your
1261,asking,1589,0,"The Captaine departed, and caused all the rest of the boates to depart, thinking belike that we would haue followed them, and haue giuen them their owne"
1262,atonement,1630,0,A Scottish religious controversy of the present time regards the nature and extent of the
1263,attrition,1678,0,"The vulgar, who have a thousand asperities in the expression of their feelings, that cannot be found on the polished surface of those whose manners are smoothed by society, not worn by"
1264,attrition,1890,0,"In both criminal and civil cases a series of adjournments will influence one of the parties so that if this tactic is prolonged with discretion, the other party will win by"
1265,attrition,1915,0,Depot officials said they plan to take care of as much of the reduction in force as possible by normal
1266,attrition,1935,1,"One is also aware of the changes that have taken place in pronunciation, meaning, and spelling of words. These changes seem analogous to the process known in geographical parlance as"
1267,attrition,1935,1,I devote the most space to proposing alternative theoretical assumptions that predict the grammatical characteristics of a person's language when it shows
1268,attrition,1935,1,"Māori remained the language of the community for the first decades of colonization, but slowly, changes in the demographic balance..led to its"
1269,audible,1626,0,"The auditory nerves..seem to carry their ideas to the cell of memory, the proper receptacle of"
1270,austerity,1450,0,"Members of the Fascisti..are prohibited from participating in banquets because ‘banquets are detrimental to the dignity of the Fascismo, which must be inspired by"
1271,austerity,1581,0,Imagine a poet whose mind was perfectly balanced between the desirability of gorgeous Swinburnesque ornament and Wordsworthian
1272,bang,1774,0,"As he was working lang and strang, And fallowin wi' pith and"
1273,bellow,1486,0,The Terms for their Noise at Rutting Time are as follows:—A Hart Belleth.—A Buck Growns or Troats.—A Roe
1274,bent,1360,0,"Buschys, brerys, and bowys they brent, They made hyt bare as evyr was"
1275,bent,1724,0,"Wi' gloomin' brow, the laird seeks in his rent; It's no to gie; your merchant's to the"
1276,binomial,1570,0,"If two rationall lines commensurable in power onely be added together: the whole line is irrationall, and is called a binomium, or a"
1277,biotechnology,1933,1,"Hours of work, on-the-job feeding, rest periods, etc. are also phases of the physiology of work which form an important part of a comprehensive"
1278,bookstore,1760,0,"Printed at Worcester (Massachusetts) by Isaiah Thomas, Printer, Bookseller and Stationer. Sold at his"
1279,braid,1793,0,"A weary lot is thine, fair maid..To pull the thorn thy brow to"
1280,breaking,1724,0,"These are afterward to be planted out in beds apart under the name of breeders, which are plain or self coloured, on a white or yellow bottom, without the streaks of colour produced in the mysterious process of"
1281,breaking,1870,0,"Vowel length was also subject to changes, including shortening and lengthening, quantitative metathesis, coalescence, and"
1282,broadcaster,1922,0,"Universities, whose broadcasting is of a limited range as compared with newspapers, are classed with State and Government stations as public"
1283,buff,1602,0,If you perplex me with your stuff—All that are here shan't save your
1284,bully,1604,0,The military riding-master is occasionally inclined to be something of a
1285,bump,1843,0,"When the pump descends, there is heard a plunge, a heavy sigh, and a loud"
1286,calling,1300,0,"The Nurses shall be alwayes at hand in the Hospitall to help the sick, that by reason of their absence they may not be put to straine and offend themselves by often and loud crying and"
1287,calling,1725,0,"Call them together, and when you find they begin to clook and pipe to one another, then forbear"
1288,calling,1539,0,"He may open a work-shop, a counting-house, an office, or any other place of business, and pursue his"
1289,calling,1475,0,Who euere wole chalenge my..namyngis of þe ij e and iij e membre..lete him assigne to me specyal according names to þo ij membris..and y wole anoon forbere and absteyne me fro þe seid maners of
1290,causative,1623,0,"The secondary or derivative conjugations are..the passive, the intensive, the desiderative, the"
1291,centrifugal,1709,0,"The Orbs of the Universe..movable about their Centers..but in no degree of actual Motion, except the Centripetal and"
1292,centrifugal,1770,0,"In the course of the tangential divisions in an initial cell and the radial row derived from it, two extreme forms may in the first instance be distinguished..termed the centripetal and"
1293,cholinergic,1934,1,"We seem to need words which will briefly indicate action by two kinds of chemical transmission, due in the one case to some substance like adrenaline, in the other case to a substance like acetylcholine, so that we may distinguish between chemical function and anatomical origin. I suggest the words ‘adrenergic’ and ‘"
1294,clientele,1839,0,"In the past four years, the number of patients he saw who wanted post-baby surgery had risen to 35 per cent of his"
1295,clockwise,1874,0,The escape wheel is locked by the inner wall of the cylinder and is about to unlock and swing
1296,coding,1953,1,"What gives a piece of writing freshness and character is the demand, almost the disturbance, which it makes in"
1297,collusion,1397,0,"Two persons..who have..given us a Relation each of them apart, too much different from one another to suspect them of any"
1298,collusion,1509,0,"A ceo purra il estre respoundu par replicacioun, qe ceo fut par fraude et collusioun. Marg. note , Judgment by"
1299,collusion,1581,0,"The resurrection of the body:..neither the Greek nor Latin ever delivered this Article in those terms, but in these, the resurrection of the flesh; because there may be ambiguity in the one..but there can be no"
1300,commoner,1384,0,"The Court of Common-council consists of the lord-mayor, aldermen, and representatives of the several wards... They annually elect six aldermen and twelve"
1301,commonwealth,1551,0,If we stick with adversarial politics we may miss the potential of a mature democracy for building up a governance process that is truly attuned to the common good of both human society and the whole
1302,commonwealth,1649,0,"The collectivist, half-communistic aspect..quietly dropped out of notice, to crop up once more, and for the last time, to the disgust and terror of merchant and landowner, in the popular agitation under the"
1303,commonwealth,1917,0,"The British Empire is much more than a State... We are a whole world by ourselves, consisting of many nations and states... Beyond that we come to the so-called Dominions..who have been evolved on the principles of your constitutional system, now almost independent states, and who all belong to this group, to this community of nations, which I prefer to call the British"
1304,commonwealth,1917,0,"They are autonomous Communities within the British Empire, equal in status, in no way subordinate one to another in any aspect of their domestic or external affairs, though united by a common allegiance to the Crown, and freely associated as members of the British"
1305,complementarity,1911,0,"From the two main physical theories of this century, relativity theory and quantum theory, two general viewpoints have emerged, that of relativity and that of"
1306,congratulation,1591,0,"To the act of ‘rejoicing with others’ there is no single term appropriated..The outward expression of the feeling is, however, known as"
1307,connote,1829,0,"Whenever the names given to objects convey any information, that is, whenever they have properly any meaning, the meaning resides not in what they denote , but in what they"
1308,constancy,1924,0,"We may single out three characteristics of things which will..be constitutive of things: shaped boundedness, dynamic properties, and"
1309,contagious,1400,0,When we wish to say that a disease is produced by personal contact with a person suffering from it..we call it
1310,convergent,1728,0,"Light moves in straight lines, which receive the name of rays. Such rays may be either divergent, parallel, or"
1311,cooler,1892,0,"Light woolen covers..thrown over a horse after racing, polo or other strenuous work while he is being walked to cool him down are known as ‘"
1312,covalent,1923,0,"The electronic theory of valency permits of a very wide extension of Thomson's theory of intramolecular ionisation, and that polar bonds may be detected in a large range of inorganic compounds where it has been generally assumed hitherto that the linkages are all of a non-polar or"
1313,cracker,1849,0,"Equipped in the easy..dress of a broad brimmed ‘Jem Crow’ hat, a fustian jacket, leather ‘"
1314,credence,1450,0,"The worthi excellence Of verray vertu..ye forleten clene For veyne rumours, litell of"
1315,credence,1450,0,"While this evidence was palpably false, the excited condition of public feeling in regard to the Jesuit plots and the aggressive plans of Spain lent it"
1316,cricket,1851,0,"Have me to bowl..Box to keep wicket, and Pilch to hit, and then you'll see"
1317,crocodile,1728,0,"Many argue..who might..be caught on the horns of a dilemma, or who would..fall victims to the"
1318,crutch,1748,0,"The tail-fin, or ‘flukes’..each half overlaps the other at the central notch, or ‘"
1319,curative,1577,0,"I place great confidence in the frequent outward use of cold water, as a preventive and"
1320,cynicism,1845,0,"The capitalist system is often extolled as a system that promotes altruism... On the contrary, it promotes the most brutal.."
1321,daunt,1300,0,He mette an hydeous gyaunt..With his great strokes he did hym
1322,deadlock,1793,0,"That stairway goes straight to garage level, but its [ sic ] locked on this side with a"
1323,deflate,1912,0,‘Mr. Garnett’ said the village postman importantly ‘is gone to Spain.’ ‘Mr. Garnett is unfortunate’ I replied..and the postman
1324,deformed,1867,0,"Lines traced along the surface of the wire parallel to its length when straight, become as it were secondary spirals, circling round the main spiral formed by the central line of the"
1325,delicately,1357,0,The ferthe dedeli syn is glotony..And this trespas dos men opon sere wise. Ane is..for to lyue ouer
1326,demonic,1785,0,"The expulsion of demons is most dramatic, though power encounters are far from limited only to the"
1327,depose,1425,0,"The honest Heathen or Turke, for whose truth the Christian dares"
1328,depressing,1856,0,"A leading firm in the United States has contracted for 200,000 ounces from Europe, and as this is about an eight months' supply for the New York market, the effect has been"
1329,desolate,1374,0,"He allured out of Babilon sixe hundred thousand soules, so that the late triumphant Citie became halfe"
1330,determinate,1921,0,I propose to call such terms as colour and shape determinables in relation to such terms as red and circular which will be called
1331,devolve,1889,0,"Looked at metaphysically—that is, in the ontological order—this process of sun, planet, and satellite formation will be perceived to be a devolution, not an evolution, just as much so as if a man"
1332,dharma,1829,0,"In proceeding in their investigations, the Abhidharmikas of both schools attributed the ‘not-self’ doctrine in effect exclusively to human beings rather than to all"
1333,disagreeable,1785,0,"The evening passed away with..good music and pleasant conversation, for the agreeables, and tobacco smoke and drinking for the"
