id,model,grade,route,is_future,domain,target_word,year,rank,hit,stem_donors,affix_donors,locality,ending_rarity
Sfccc45e4,talkie-base,NONE,none,1,technical,vaccine,1986,83,1,,,none,n/a
S3bb2806e,talkie-base,NONE,none,1,technical,apoptosis,1972,-1,0,,,none,n/a
Seed11936,typewriter,NONE,none,1,technical,mythology,1949,-1,0,,,none,n/a
Se8c1a284,talkie-base,STEM+AFFIX,paradigmatic,0,technical,haploid,1906,1,1,diploid,diploid,>15,n/a
Sdd3a67c3,talkie-base,STEM+AFFIX,paradigmatic,1,technical,biotechnology,1933,-1,0,physiology,physiology,6-15,n/a
Seab97085,typewriter,STEM,paradigmatic,1,everyday,reference,1971,-1,0,refer,,>15,n/a
S5429b0b0,talkie-web,STEM+AFFIX,paradigmatic,0,everyday,indistinct,1589,26,1,distinct,distinct,6-15,n/a
S8edf14e8,talkie-base,STEM,paradigmatic,0,everyday,subvert,1382,-1,0,subuertyng,,<=5,n/a
S6a886b7f,talkie-web,NONE,none,1,everyday,dead,1982,-1,0,,,none,n/a
S6cfa4b1b,typewriter,STEM,paradigmatic,0,technical,thrombosis,1857,2,1,thrombus,,>15,n/a
Sf7b4218a,talkie-web,NONE,none,0,technical,histology,1822,36,1,,,none,n/a
S3317ed42,typewriter,NONE,none,0,everyday,proof,1350,3,1,,,none,n/a
Sb0c6846e,talkie-base,STEM+AFFIX,paradigmatic,1,everyday,ordination,1954,-1,0,ordinary,classification|vegetation,6-15,n/a
S2d6d4e87,talkie-base,STEM,paradigmatic,0,everyday,observed,1604,1,1,observer,,6-15,n/a
S025a5ad7,typewriter,STEM,paradigmatic,0,everyday,commonwealth,1551,24,1,common,,6-15,n/a
Sd5c1ccec,talkie-base,STEM,paradigmatic,0,everyday,commonwealth,1551,24,1,common,,6-15,n/a
S238cf0bd,talkie-base,NONE,none,0,technical,histology,1822,49,1,,,none,n/a
S65d48f3d,typewriter,NONE,none,1,everyday,letter,1964,-1,0,,,none,n/a
Sddab5989,talkie-base,NONE,none,1,everyday,robust,1971,-1,0,,,none,n/a
S7dff15a6,typewriter,NONE,none,0,technical,herbicide,1899,-1,0,,,none,n/a
S5cc96582,talkie-base,STEM,paradigmatic,1,technical,synthase,1954,61,1,synthesizing,,6-15,n/a
Sde2c4f47,talkie-web,STEM+AFFIX,paradigmatic,0,technical,endocrine,1914,1,1,exocrine,exocrine,6-15,n/a
S18b95963,typewriter,STEM+AFFIX,paradigmatic,0,everyday,round,1300,2,1,found,found,<=5,n/a
Secc685cd,talkie-base,STEM+AFFIX,paradigmatic,1,everyday,unlock,1996,6,1,lock,lock,>15,n/a
Se261fccd,talkie-base,STEM+AFFIX,paradigmatic,0,technical,typology,1886,-1,0,psychology,psychology,6-15,n/a
S7da84c39,talkie-base,NONE,none,1,everyday,ou,1949,-1,0,,,none,n/a
S43011351,typewriter,STEM,paradigmatic,1,technical,synthase,1954,-1,0,synthesis,,6-15,n/a
Sd2c321b4,typewriter,STEM+AFFIX,paradigmatic,1,everyday,mother,1934,2,1,other,other,6-15,n/a
Scc6e68bb,talkie-base,STEM+AFFIX,paradigmatic,0,everyday,furrow,1330,2,1,narrow,narrow,6-15,n/a
Sdf8c98df,typewriter,NONE,none,1,everyday,ou,1949,-1,0,,,none,n/a
S866ba82e,talkie-base,AFFIX,syntagmatic,1,everyday,munition,1962,5,1,,encryption,>15,very-common
Sce1b18a9,typewriter,NONE,none,1,technical,ecology,1976,-1,0,,,none,n/a
S25aa22a8,talkie-web,NONE,none,1,everyday,robust,1971,-1,0,,,none,n/a
S859aed48,typewriter,NONE,none,0,technical,recline,1774,-1,0,,,none,n/a
S10ea152b,talkie-web,AFFIX,syntagmatic,0,everyday,reading,1624,-1,0,,understanding,6-15,very-common
Sca1cf5d5,talkie-web,STEM,paradigmatic,1,technical,synthase,1954,18,1,synthesis,,6-15,n/a
S3fa37280,typewriter,STEM+AFFIX,paradigmatic,0,technical,illumine,1499,-1,0,braine|mine,mine,<=5,n/a
Sd6411b82,talkie-base,STEM,paradigmatic,0,technical,hydroxyl,1869,1,1,hydrogen|hydroxides,,>15,n/a
Sfe7fef41,typewriter,STEM,paradigmatic,0,everyday,grace,1500,-1,0,gracia,,<=5,n/a
S6eb43eb1,typewriter,AFFIX,syntagmatic,1,everyday,munition,1962,39,1,,encryption,>15,very-common
S7558781d,talkie-web,NONE,none,0,technical,etymology,1450,1,1,,,none,n/a
Scc53373b,talkie-web,STEM+AFFIX,paradigmatic,1,everyday,proactive,1951,1,1,reactive,initiative|reactive,6-15,n/a
Se872ebc9,talkie-base,STEM,paradigmatic,0,everyday,grace,1500,1,1,gracia,,<=5,n/a
Scdc45284,typewriter,STEM+AFFIX,paradigmatic,1,everyday,thematic,1957,-1,0,rhematic,rhematic,<=5,n/a
Sd101a80c,talkie-base,STEM,paradigmatic,0,technical,acidosis,1900,1,1,acid,,6-15,n/a
Sf0405614,talkie-base,STEM,paradigmatic,1,everyday,reference,1971,-1,0,refer,,>15,n/a
S319fbd7f,talkie-base,STEM+AFFIX,paradigmatic,0,everyday,indistinct,1589,8,1,distinct,distinct,6-15,n/a
Se96b2880,typewriter,AFFIX,syntagmatic,0,everyday,posture,1580,4,1,,stature,<=5,very-common
Scb9dc14f,typewriter,NONE,none,0,everyday,besides,1564,17,1,,,none,n/a
Sfa234ca5,typewriter,STEM,paradigmatic,0,technical,melanoma,1826,5,1,melanic|melanotic,,<=5,n/a
Sf4731868,typewriter,STEM,paradigmatic,1,everyday,penetrate,1953,20,1,penetration,,>15,n/a
S3b4e2ae3,typewriter,STEM+AFFIX,paradigmatic,0,technical,diploid,1908,23,1,haploid,haploid,6-15,n/a
S24c5b51b,talkie-base,NONE,none,0,technical,herbicide,1899,-1,0,,,none,n/a
S566c48d5,talkie-base,STEM+AFFIX,paradigmatic,1,everyday,insecure,1935,1,1,insecurity|secure|security,secure,<=5,n/a
Sc0fdeb3c,talkie-web,STEM+AFFIX,paradigmatic,0,technical,typology,1886,-1,0,psychology,psychology,6-15,n/a
S01a1e904,typewriter,NONE,none,0,everyday,daze,1400,-1,0,,,none,n/a
S8eda1879,talkie-web,NONE,none,1,everyday,debugging,1931,-1,0,,,none,n/a
S10fa3962,talkie-web,NONE,none,1,technical,recline,1938,-1,0,,,none,n/a
Sc590cf61,talkie-base,STEM+AFFIX,paradigmatic,0,everyday,ground,1386,1,1,found,found,6-15,n/a
S914b0c6d,typewriter,AFFIX,syntagmatic,1,everyday,attrition,1935,-1,0,,colonization,6-15,very-common
S84f434e7,talkie-base,AFFIX,syntagmatic,0,everyday,posture,1580,1,1,,stature,<=5,very-common
Sb8d1c84a,talkie-base,NONE,none,0,technical,vaccine,1880,-1,0,,,none,n/a
S187a12b6,talkie-base,NONE,none,0,technical,homology,1835,-1,0,,,none,n/a
S42aa5d63,talkie-base,AFFIX,syntagmatic,0,everyday,motion,1884,31,1,,transformation,<=5,very-common
S5d8b0f1f,talkie-base,NONE,none,0,everyday,advance,1578,16,1,,,none,n/a
S0b76a055,talkie-base,NONE,none,1,technical,cytokine,1974,-1,0,,,none,n/a
Sd3ac47a9,talkie-base,NONE,none,0,everyday,besides,1564,20,1,,,none,n/a
S6be660eb,typewriter,NONE,none,1,technical,apoptosis,1972,-1,0,,,none,n/a
Sc7dc40f8,typewriter,NONE,none,1,everyday,live,1930,-1,0,,,none,n/a
S1f1b43fd,talkie-web,STEM+AFFIX,paradigmatic,0,technical,sclerosis,1543,46,1,cirrhosis,cirrhosis,6-15,n/a
S48ae9a3d,talkie-base,STEM,paradigmatic,1,technical,hydroxide,1955,2,1,hydroxyl,,6-15,n/a
Sc6e43268,talkie-web,NONE,none,0,everyday,money,1887,1,1,,,none,n/a
S585fa14d,typewriter,STEM,paradigmatic,0,everyday,observed,1604,7,1,observer,,6-15,n/a
S33474294,talkie-base,NONE,none,1,everyday,letter,1964,-1,0,,,none,n/a
Sb8c87748,talkie-web,STEM+AFFIX,paradigmatic,1,technical,positron,1933,1,1,electron,electron,<=5,n/a
S93d88e76,talkie-base,STEM,paradigmatic,1,everyday,statutory,1937,-1,0,advisory,,>15,n/a
S64990b44,typewriter,AFFIX,syntagmatic,1,everyday,operation,1938,-1,0,,application|locution,<=5,very-common
S750cba1f,talkie-web,STEM,paradigmatic,0,technical,melanoma,1826,10,1,melanic|melanotic,,<=5,n/a
Sd4c01d9e,talkie-web,STEM+AFFIX,paradigmatic,0,everyday,measure,1384,1,1,sure,sure,<=5,n/a
Sd7de38d8,talkie-base,NONE,none,0,technical,informer,1503,7,1,,,none,n/a
S6a65464d,talkie-web,AFFIX,syntagmatic,0,everyday,upright,1856,-1,0,,straight,6-15,very-common
Sda276c3c,typewriter,STEM,paradigmatic,1,everyday,smell,1939,19,1,smelt,,<=5,n/a
Se287952c,talkie-base,STEM+AFFIX,paradigmatic,1,technical,necrosis,1953,-1,0,narcosis,narcosis,<=5,n/a
Sf5bb6b6e,typewriter,AFFIX,syntagmatic,0,everyday,violence,1393,-1,0,,pacience,<=5,very-common
Sa1945b46,talkie-base,AFFIX,syntagmatic,1,everyday,operation,1938,-1,0,,application|locution,<=5,very-common
Sdbfb1530,typewriter,AFFIX,syntagmatic,0,everyday,polarization,1894,24,1,,condition,6-15,very-common
S6ff9d4db,typewriter,STEM+AFFIX,paradigmatic,1,everyday,proactive,1951,-1,0,reactive,initiative|reactive,6-15,n/a
Sdaf8055d,talkie-web,STEM+AFFIX,paradigmatic,1,everyday,mother,1934,1,1,other,other,6-15,n/a
S2794a1f5,talkie-base,STEM,paradigmatic,0,everyday,kind,1225,1,1,mind,,6-15,n/a
S4dedb4de,talkie-base,AFFIX,syntagmatic,1,everyday,attrition,1935,-1,0,,colonization,6-15,very-common
S2ff6d55e,talkie-web,STEM+AFFIX,paradigmatic,0,everyday,unjust,1561,1,1,just,just,<=5,n/a
Saa60c1b2,talkie-web,STEM+AFFIX,paradigmatic,1,technical,cytokine,1974,17,1,lymphokine,lymphokine,>15,n/a
Se93701e7,typewriter,STEM+AFFIX,paradigmatic,0,technical,sclerosis,1543,6,1,cirrhosis,cirrhosis,6-15,n/a
Sd2239f81,talkie-web,NONE,none,1,everyday,lobe,1957,-1,0,,,none,n/a
S9e96de41,talkie-web,STEM,paradigmatic,0,everyday,grace,1500,-1,0,gracia,,<=5,n/a
Sa02b77ea,typewriter,STEM,paradigmatic,0,everyday,tide,1390,1,1,side,,6-15,n/a
S72ee32fe,talkie-base,STEM+AFFIX,paradigmatic,1,everyday,mother,1934,1,1,other,other,6-15,n/a
S2dc8cab6,talkie-web,AFFIX,syntagmatic,1,everyday,projected,1932,12,1,,expected,6-15,rare
S9ae31c1a,typewriter,STEM+AFFIX,paradigmatic,1,technical,necrosis,1953,-1,0,narcosis,narcosis,<=5,n/a
S7ab38760,talkie-web,AFFIX,syntagmatic,0,everyday,motion,1884,-1,0,,transformation,<=5,very-common
Sc410cc89,talkie-web,AFFIX,syntagmatic,0,everyday,resolution,1545,1,1,,consideration,>15,very-common
Sa1de3c67,typewriter,NONE,none,0,technical,homology,1835,62,1,,,none,n/a
S73a75147,talkie-web,STEM+AFFIX,paradigmatic,1,technical,subroutine,1946,-1,0,routine|routines|substitution,routine,<=5,n/a
Se8d98133,talkie-web,STEM,paradigmatic,1,everyday,frontman,1956,-1,0,letterman,,6-15,n/a
S07d4482c,talkie-web,NONE,none,1,technical,mythology,1949,-1,0,,,none,n/a
S57219acc,typewriter,NONE,none,0,technical,histology,1822,-1,0,,,none,n/a
