model,kind_model,target,technical,neighbor,flag_kind,neighbor_year,dating,target_len,brown_freq,rank
talkie-base,restricted,swan,False,swann,ORTHOGRAPHIC,,,4,3,1
talkie-base,restricted,swan,False,swyan,ORTHOGRAPHIC,,,4,3,1
talkie-base,restricted,swan,False,swane,ORTHOGRAPHIC,,,4,3,1
talkie-base,restricted,swan,False,swyn,ORTHOGRAPHIC,,,4,3,1
talkie-base,restricted,swan,False,swanne,ORTHOGRAPHIC,,,4,3,1
talkie-base,restricted,swan,False,swanne,ORTHOGRAPHIC,,,4,3,1
talkie-base,restricted,swan,False,swaine,ORTHOGRAPHIC,,,4,3,1
talkie-base,restricted,swan,False,swane,ORTHOGRAPHIC,,,4,3,1
talkie-base,restricted,swan,False,swanne,ORTHOGRAPHIC,,,4,3,1
talkie-base,restricted,tack,False,taok,ORTHOGRAPHIC,,,4,4,1
talkie-base,restricted,tactile,False,tactiles,ORTHOGRAPHIC,,,7,2,4
talkie-base,restricted,tail,False,taile,ORTHOGRAPHIC,,,4,24,30
talkie-base,restricted,taint,False,taintsd,ORTHOGRAPHIC,,,5,1,4
talkie-base,restricted,taint,False,tain,ORTHOGRAPHIC,,,5,1,4
talkie-base,restricted,tally,False,taly,ORTHOGRAPHIC,,,5,4,7
talkie-base,restricted,tally,False,tallye,ORTHOGRAPHIC,,,5,4,7
talkie-base,restricted,tame,False,tamej,ORTHOGRAPHIC,,,4,5,1
talkie-base,restricted,testator,False,testators,ORTHOGRAPHIC,,,8,0,2
talkie-base,restricted,thaw,False,thawe,ORTHOGRAPHIC,,,4,6,1
talkie-base,restricted,thaw,False,thawme,ORTHOGRAPHIC,,,4,6,1
talkie-base,restricted,thaw,False,thau,ORTHOGRAPHIC,,,4,6,1
talkie-base,restricted,thaw,False,thawc,ORTHOGRAPHIC,,,4,6,1
talkie-base,restricted,thump,False,thumpt,ORTHOGRAPHIC,,,5,3,12
talkie-base,restricted,thump,False,thumpd,ORTHOGRAPHIC,,,5,3,12
talkie-base,restricted,thump,False,thumd,ORTHOGRAPHIC,,,5,3,12
talkie-base,restricted,toad,False,toade,ORTHOGRAPHIC,,,4,4,1
talkie-base,restricted,toad,False,toadc,ORTHOGRAPHIC,,,4,4,1
talkie-base,restricted,toad,False,tooade,ORTHOGRAPHIC,,,4,4,1
talkie-base,restricted,toad,False,tooad,ORTHOGRAPHIC,,,4,4,1
talkie-base,restricted,toad,False,toadé,ORTHOGRAPHIC,,,4,4,1
talkie-base,restricted,toleration,False,tolleration,ORTHOGRAPHIC,,,10,1,1
talkie-base,restricted,topple,False,toppy,ORTHOGRAPHIC,,,6,1,6
talkie-base,restricted,topple,False,toppleth,ORTHOGRAPHIC,,,6,1,6
talkie-base,restricted,torpedo,False,torpeda,ORTHOGRAPHIC,,,7,1,1
talkie-base,restricted,torpedo,False,torpedoe,ORTHOGRAPHIC,,,7,1,1
talkie-base,restricted,transpire,False,tranfpire,ORTHOGRAPHIC,,,9,0,4
talkie-base,restricted,transpire,False,tranſpire,ORTHOGRAPHIC,,,9,0,4
talkie-base,restricted,triglyceride,True,glycerides,INFLECTION,,,12,0,-1
talkie-base,restricted,triglyceride,True,trihydric,DERIVATIONAL,,undated,12,0,-1
talkie-base,restricted,triglyceride,True,glycerides,INFLECTION,,,12,0,-1
talkie-base,restricted,trillion,False,decillion,DERIVATIONAL,,undated,8,1,1
talkie-base,restricted,trillion,False,trilion,ORTHOGRAPHIC,,,8,1,1
talkie-base,restricted,trillion,False,trillious,ORTHOGRAPHIC,,,8,1,3
talkie-base,restricted,trillion,False,trillons,ORTHOGRAPHIC,,,8,1,3
talkie-base,restricted,trillion,False,triilions,ORTHOGRAPHIC,,,8,1,3
talkie-base,restricted,trillion,False,decillion,DERIVATIONAL,,undated,8,1,4
talkie-base,restricted,trim,False,trym,ORTHOGRAPHIC,,,4,20,1
talkie-base,restricted,trim,False,trimme,ORTHOGRAPHIC,,,4,20,1
talkie-base,restricted,trim,False,trime,ORTHOGRAPHIC,,,4,20,1
talkie-base,restricted,trim,False,trimme,ORTHOGRAPHIC,,,4,20,1
talkie-base,restricted,trot,False,trotte,ORTHOGRAPHIC,,,4,12,4
talkie-base,restricted,trot,False,trott,ORTHOGRAPHIC,,,4,12,4
talkie-base,restricted,trot,False,trote,ORTHOGRAPHIC,,,4,12,4
talkie-base,restricted,turning,False,swouning,DERIVATIONAL,,undated,7,75,2
talkie-base,restricted,turning,False,liuing,DERIVATIONAL,,undated,7,75,21
talkie-base,restricted,umbilical,False,umbilicated,INFLECTION,,,9,0,50
talkie-base,restricted,unborn,False,unform,ORTHOGRAPHIC,,,6,4,1
talkie-base,restricted,unborn,False,unbuilt,DERIVATIONAL,,undated,6,4,1
talkie-base,restricted,unison,False,vnison,DERIVATIONAL,,undated,6,3,1
talkie-base,restricted,unison,False,uuison,ORTHOGRAPHIC,,,6,3,1
talkie-base,restricted,unison,False,umson,ORTHOGRAPHIC,,,6,3,1
talkie-base,restricted,unjustified,False,unimpeached,DERIVATIONAL,,undated,11,1,-1
talkie-base,restricted,unsaturated,False,unappropriated,DERIVATIONAL,,undated,11,2,2
talkie-base,restricted,unsaturated,False,unprovided,DERIVATIONAL,,undated,11,2,2
talkie-base,restricted,untrue,False,imtrue,DERIVATIONAL,,undated,6,2,1
talkie-base,restricted,untrue,False,untrae,ORTHOGRAPHIC,,,6,2,1
talkie-base,restricted,untrue,False,untme,ORTHOGRAPHIC,,,6,2,1
talkie-base,restricted,urethra,False,ureters,ORTHOGRAPHIC,,,7,1,1
talkie-base,restricted,usurp,False,usurpe,ORTHOGRAPHIC,,,5,1,1
talkie-base,restricted,usurp,False,usuip,ORTHOGRAPHIC,,,5,1,1
talkie-base,restricted,valour,False,valure,ORTHOGRAPHIC,,,6,0,19
talkie-base,restricted,valour,False,valure,ORTHOGRAPHIC,,,6,0,70
talkie-base,restricted,valour,False,valoure,ORTHOGRAPHIC,,,6,0,70
talkie-base,restricted,vent,False,vente,ORTHOGRAPHIC,,,4,10,3
talkie-base,restricted,vent,False,veut,ORTHOGRAPHIC,,,4,10,2
talkie-base,restricted,vent,False,ventage,ORTHOGRAPHIC,,,4,10,1
talkie-base,restricted,vent,False,yent,DERIVATIONAL,,undated,4,10,1
talkie-base,restricted,vex,False,vext,ORTHOGRAPHIC,,,3,1,1
talkie-base,restricted,vex,False,vez,ORTHOGRAPHIC,,,3,1,1
talkie-base,restricted,vigilance,False,vigilancie,ORTHOGRAPHIC,,,9,4,22
talkie-base,restricted,vile,False,vyle,ORTHOGRAPHIC,,,4,5,1
talkie-base,restricted,vile,False,vil,ORTHOGRAPHIC,,,4,5,1
talkie-base,restricted,vile,False,vild,ORTHOGRAPHIC,,,4,5,1
talkie-base,restricted,vile,False,yile,DERIVATIONAL,,undated,4,5,1
talkie-base,restricted,vile,False,vite,ORTHOGRAPHIC,,,4,5,1
talkie-base,restricted,vile,False,gile,DERIVATIONAL,,undated,4,5,2
talkie-base,restricted,violet,False,vellet,ORTHOGRAPHIC,,,6,7,17
talkie-base,restricted,wade,False,vade,DERIVATIONAL,,undated,4,2,1
talkie-base,restricted,waking,False,wakings,ORTHOGRAPHIC,,,6,11,2
talkie-base,restricted,waking,False,wakeing,ORTHOGRAPHIC,,,6,11,1
talkie-base,restricted,waking,False,wakin,ORTHOGRAPHIC,,,6,11,1
talkie-base,restricted,warp,False,warpe,ORTHOGRAPHIC,,,4,4,2
talkie-base,restricted,warp,False,warpc,ORTHOGRAPHIC,,,4,4,2
talkie-base,restricted,warp,False,warepe,ORTHOGRAPHIC,,,4,4,2
talkie-base,restricted,warp,False,warrpe,ORTHOGRAPHIC,,,4,4,2
talkie-base,restricted,warp,False,warep,ORTHOGRAPHIC,,,4,4,2
talkie-base,restricted,warp,False,warpe,ORTHOGRAPHIC,,,4,4,1
talkie-base,restricted,warp,False,warpe,ORTHOGRAPHIC,,,4,4,6
talkie-base,restricted,wearing,False,attyring,DERIVATIONAL,,undated,7,47,3
talkie-base,restricted,well,False,dwelle,DERIVATIONAL,,undated,4,897,-1
talkie-base,restricted,wharf,False,wharfes,ORTHOGRAPHIC,,,5,4,8
talkie-base,restricted,wharf,False,wharfe,ORTHOGRAPHIC,,,5,4,8
talkie-base,restricted,wharf,False,wharffs,ORTHOGRAPHIC,,,5,4,8
talkie-base,restricted,whine,False,rine,DERIVATIONAL,,undated,5,4,-1
talkie-base,restricted,wig,False,wigj,ORTHOGRAPHIC,,,3,1,1
talkie-base,restricted,woo,False,wooe,ORTHOGRAPHIC,,,3,3,1
talkie-base,restricted,wrest,False,wreast,ORTHOGRAPHIC,,,5,1,1
talkie-base,restricted,wrest,False,wreft,ORTHOGRAPHIC,,,5,1,1
talkie-base,restricted,wrest,False,wreste,ORTHOGRAPHIC,,,5,1,1
talkie-base,restricted,wring,False,wronge,ORTHOGRAPHIC,,,5,2,-1
talkie-base,restricted,wring,False,wringed,ORTHOGRAPHIC,,,5,2,-1
talkie-base,restricted,wring,False,bringe,DERIVATIONAL,,undated,5,2,-1
talkie-base,restricted,wrong,False,wron,ORTHOGRAPHIC,,,5,129,1
talkie-base,restricted,wrong,False,wrongm,ORTHOGRAPHIC,,,5,129,1
talkie-base,restricted,wrong,False,wrongd,ORTHOGRAPHIC,,,5,129,1
talkie-base,restricted,wrong,False,wroog,ORTHOGRAPHIC,,,5,129,1
talkie-base,restricted,wrong,False,wronge,ORTHOGRAPHIC,,,5,129,1
talkie-base,restricted,acquittal,False,acquital,ORTHOGRAPHIC,,,9,2,1
talkie-base,restricted,acquittal,False,acquittai,ORTHOGRAPHIC,,,9,2,1
talkie-base,restricted,acquittal,False,acauittal,ORTHOGRAPHIC,,,9,2,1
talkie-base,restricted,acquittal,False,acquitta,ORTHOGRAPHIC,,,9,2,1
talkie-base,restricted,acquittal,False,aequittal,ORTHOGRAPHIC,,,9,2,1
talkie-base,restricted,adder,False,addar,ORTHOGRAPHIC,,,5,0,1
talkie-base,restricted,adenine,True,neurine,DERIVATIONAL,,undated,7,0,23
talkie-base,restricted,adenine,True,hypoxanthine,DERIVATIONAL,,undated,7,0,23
talkie-base,restricted,adenine,True,oxyneurine,DERIVATIONAL,,undated,7,0,23
talkie-base,restricted,aerospace,False,electrospace,DERIVATIONAL,,undated,9,4,2
talkie-base,restricted,aerospace,False,radiospace,DERIVATIONAL,,undated,9,4,2
talkie-base,restricted,afloat,False,awork,DERIVATIONAL,,undated,6,7,3
talkie-base,restricted,afresh,False,afreſh,ORTHOGRAPHIC,,,6,2,6
talkie-base,restricted,alcove,False,alcoye,ORTHOGRAPHIC,,,6,0,1
talkie-base,restricted,alight,False,alighten,ORTHOGRAPHIC,,,6,3,1
talkie-base,restricted,alight,False,alyght,ORTHOGRAPHIC,,,6,3,1
talkie-base,restricted,allay,False,allayd,ORTHOGRAPHIC,,,5,2,1
talkie-base,restricted,allay,False,allaid,ORTHOGRAPHIC,,,5,2,1
talkie-base,restricted,amide,False,amides,ORTHOGRAPHIC,,,5,1,9
talkie-base,restricted,amide,False,amines,ORTHOGRAPHIC,,,5,1,9
talkie-base,restricted,amiss,False,amisse,ORTHOGRAPHIC,,,5,2,12
talkie-base,restricted,amiss,False,amiſs,ORTHOGRAPHIC,,,5,2,12
talkie-base,restricted,amiss,False,amis,ORTHOGRAPHIC,,,5,2,12
talkie-base,restricted,amiss,False,amiſs,ORTHOGRAPHIC,,,5,2,11
talkie-base,restricted,amiss,False,amis,ORTHOGRAPHIC,,,5,2,1
talkie-base,restricted,amiss,False,amies,ORTHOGRAPHIC,,,5,2,1
talkie-base,restricted,amiss,False,amisa,ORTHOGRAPHIC,,,5,2,1
talkie-base,restricted,amiss,False,amis,ORTHOGRAPHIC,,,5,2,1
talkie-base,restricted,amiss,False,amies,ORTHOGRAPHIC,,,5,2,1
talkie-base,restricted,amiss,False,amisa,ORTHOGRAPHIC,,,5,2,1
talkie-base,restricted,amiss,False,amias,ORTHOGRAPHIC,,,5,2,1
talkie-base,restricted,amiss,False,amis,ORTHOGRAPHIC,,,5,2,1
talkie-base,restricted,amulet,False,amuletum,ORTHOGRAPHIC,,,6,1,8
talkie-base,restricted,anvil,False,anvile,ORTHOGRAPHIC,,,5,1,3
talkie-base,restricted,anvil,False,anvills,ORTHOGRAPHIC,,,5,1,3
talkie-base,restricted,anvil,False,anvill,ORTHOGRAPHIC,,,5,1,3
talkie-base,restricted,anvil,False,anviles,ORTHOGRAPHIC,,,5,1,3
talkie-base,restricted,arteriole,False,arterioles,ORTHOGRAPHIC,,,9,0,53
talkie-base,restricted,atheism,False,atheisme,ORTHOGRAPHIC,,,7,0,2
talkie-base,restricted,atheism,False,atheisnie,DERIVATIONAL,,undated,7,0,2
talkie-base,restricted,atheism,False,atheifme,ORTHOGRAPHIC,,,7,0,2
talkie-base,restricted,atheism,False,attheisme,ORTHOGRAPHIC,,,7,0,2
talkie-base,restricted,atheism,False,atheiſme,ORTHOGRAPHIC,,,7,0,2
talkie-base,restricted,atheism,False,atlieisme,DERIVATIONAL,,undated,7,0,2
talkie-base,restricted,atheism,False,atheisine,DERIVATIONAL,,undated,7,0,2
talkie-base,restricted,balk,False,balkt,ORTHOGRAPHIC,,,4,0,24
talkie-base,restricted,balk,False,balke,ORTHOGRAPHIC,,,4,0,24
talkie-base,restricted,balk,False,baulkt,ORTHOGRAPHIC,,,4,0,24
talkie-base,restricted,balk,False,balckt,ORTHOGRAPHIC,,,4,0,24
talkie-base,restricted,biosphere,False,protosphere,DERIVATIONAL,,undated,9,0,1
talkie-base,restricted,biosphere,False,plasmosphere,DERIVATIONAL,,undated,9,0,1
talkie-base,restricted,blush,False,blushe,ORTHOGRAPHIC,,,5,2,1
talkie-base,restricted,blush,False,blusli,ORTHOGRAPHIC,,,5,2,1
talkie-base,restricted,blush,False,blusb,ORTHOGRAPHIC,,,5,2,1
talkie-base,restricted,blush,False,blnsh,ORTHOGRAPHIC,,,5,2,1
talkie-base,restricted,blush,False,bluſh,ORTHOGRAPHIC,,,5,2,1
talkie-base,restricted,bran,False,branne,ORTHOGRAPHIC,,,4,1,1
talkie-base,restricted,bran,False,braune,ORTHOGRAPHIC,,,4,1,1
talkie-base,restricted,brim,False,brimme,ORTHOGRAPHIC,,,4,4,1
talkie-base,restricted,brim,False,brime,ORTHOGRAPHIC,,,4,4,1
talkie-base,restricted,brim,False,brimm,ORTHOGRAPHIC,,,4,4,1
talkie-base,restricted,brim,False,biim,ORTHOGRAPHIC,,,4,4,1
talkie-base,restricted,brim,False,hrim,DERIVATIONAL,,undated,4,4,1
talkie-base,restricted,brunt,False,brunts,ORTHOGRAPHIC,,,5,1,25
talkie-base,restricted,buttress,False,butresses,DERIVATIONAL,,undated,8,0,11
talkie-base,restricted,caribou,False,cariboo,ORTHOGRAPHIC,,,7,0,1
talkie-base,restricted,casserole,False,dariole,DERIVATIONAL,,undated,9,0,5
talkie-base,restricted,catholic,False,catholici,ORTHOGRAPHIC,,,8,84,10
talkie-base,restricted,catholic,False,catholice,ORTHOGRAPHIC,,,8,84,10
talkie-base,restricted,catholic,False,catholict,ORTHOGRAPHIC,,,8,84,10
talkie-base,restricted,catholic,False,cathol,ORTHOGRAPHIC,,,8,84,10
talkie-base,restricted,catholic,False,catholiei,ORTHOGRAPHIC,,,8,84,10
talkie-base,restricted,catholic,False,catholica,ORTHOGRAPHIC,,,8,84,10
talkie-base,restricted,chloroform,False,chloroforme,ORTHOGRAPHIC,,,10,0,-1
talkie-base,restricted,choline,True,cholin,ORTHOGRAPHIC,,,7,0,1
talkie-base,restricted,choline,True,cholic,ORTHOGRAPHIC,,,7,0,1
talkie-base,restricted,choline,True,biline,DERIVATIONAL,,undated,7,0,1
talkie-base,restricted,clout,False,clowt,ORTHOGRAPHIC,,,5,1,1
talkie-base,restricted,clout,False,cloute,ORTHOGRAPHIC,,,5,1,1
talkie-base,restricted,clout,False,clowte,ORTHOGRAPHIC,,,5,1,1
talkie-base,restricted,clout,False,cloot,ORTHOGRAPHIC,,,5,1,1
talkie-base,restricted,coaster,False,coastmen,ORTHOGRAPHIC,,,7,0,-1
talkie-base,restricted,coaster,False,coasties,ORTHOGRAPHIC,,,7,0,-1
talkie-base,restricted,cocoon,False,cocon,ORTHOGRAPHIC,,,6,3,1
talkie-base,restricted,cocoon,False,cooon,ORTHOGRAPHIC,,,6,3,1
talkie-base,restricted,cocoon,False,cokoon,ORTHOGRAPHIC,,,6,3,1
talkie-base,restricted,coffer,False,cofer,ORTHOGRAPHIC,,,6,0,4
talkie-base,restricted,cornice,False,corniſh,ORTHOGRAPHIC,,,7,0,1
talkie-base,restricted,cornice,False,cornifh,ORTHOGRAPHIC,,,7,0,1
talkie-base,restricted,cornice,False,corniche,ORTHOGRAPHIC,,,7,0,1
talkie-base,restricted,cornice,False,cornich,ORTHOGRAPHIC,,,7,0,1
talkie-base,restricted,cornice,False,cornith,ORTHOGRAPHIC,,,7,0,1
talkie-base,restricted,cornice,False,cornilh,ORTHOGRAPHIC,,,7,0,1
talkie-base,restricted,cornice,False,comice,ORTHOGRAPHIC,,,7,0,1
talkie-base,restricted,cornice,False,corniſhe,ORTHOGRAPHIC,,,7,0,1
talkie-base,restricted,corporal,False,corporall,ORTHOGRAPHIC,,,8,4,1
talkie-base,restricted,corporal,False,corperall,ORTHOGRAPHIC,,,8,4,1
talkie-base,restricted,craze,False,cracke,ORTHOGRAPHIC,,,5,2,-1
talkie-base,restricted,dame,False,dammes,ORTHOGRAPHIC,,,4,7,3
talkie-base,restricted,daze,False,dazle,ORTHOGRAPHIC,,,4,0,1
talkie-base,restricted,daze,False,dase,ORTHOGRAPHIC,,,4,0,1
talkie-base,restricted,daze,False,dazel,ORTHOGRAPHIC,,,4,0,1
talkie-base,restricted,daze,False,daz,ORTHOGRAPHIC,,,4,0,1
talkie-base,restricted,daze,False,dazell,ORTHOGRAPHIC,,,4,0,1
talkie-base,restricted,daze,False,dazc,ORTHOGRAPHIC,,,4,0,1
talkie-base,restricted,debatable,False,debateable,ORTHOGRAPHIC,,,9,1,2
talkie-base,restricted,decorum,False,decoram,ORTHOGRAPHIC,,,7,2,1
talkie-base,restricted,diphtheria,False,diphtheritis,DERIVATIONAL,,undated,10,0,2
talkie-base,restricted,diphtheria,False,diphtheritic,DERIVATIONAL,,undated,10,0,2
talkie-base,restricted,diphtheria,False,diphtheritis,DERIVATIONAL,,undated,10,0,1
talkie-base,restricted,diphtheria,False,diphtheritic,DERIVATIONAL,,undated,10,0,1
talkie-base,restricted,diphtheria,False,diphtheroid,ORTHOGRAPHIC,,,10,0,1
talkie-base,restricted,disclaimer,True,disclamer,ORTHOGRAPHIC,,,10,1,1
talkie-base,restricted,disorderly,False,disordery,ORTHOGRAPHIC,,,10,3,1
talkie-base,restricted,disorderly,False,disordely,ORTHOGRAPHIC,,,10,3,1
talkie-base,restricted,down,False,downes,ORTHOGRAPHIC,,,4,895,9
talkie-base,restricted,down,False,downa,ORTHOGRAPHIC,,,4,895,2
talkie-base,restricted,down,False,downes,ORTHOGRAPHIC,,,4,895,2
talkie-base,restricted,down,False,downa,ORTHOGRAPHIC,,,4,895,2
talkie-base,restricted,dryness,False,dryhess,ORTHOGRAPHIC,,,7,2,1
talkie-base,restricted,duet,False,duetts,ORTHOGRAPHIC,,,4,1,34
talkie-base,restricted,duet,False,duett,ORTHOGRAPHIC,,,4,1,1
talkie-base,restricted,dyad,False,dyas,ORTHOGRAPHIC,,,4,0,1
talkie-base,restricted,dyad,False,daad,ORTHOGRAPHIC,,,4,0,1
talkie-base,restricted,dyad,False,dvad,ORTHOGRAPHIC,,,4,0,1
talkie-base,restricted,dyad,False,dyade,ORTHOGRAPHIC,,,4,0,1
talkie-base,restricted,earthy,False,karthy,DERIVATIONAL,,undated,6,10,1
talkie-base,restricted,earthy,False,eartliy,ORTHOGRAPHIC,,,6,10,1
talkie-base,restricted,earthy,False,harthy,DERIVATIONAL,,undated,6,10,1
talkie-base,restricted,earthy,False,earthey,ORTHOGRAPHIC,,,6,10,1
talkie-base,restricted,earthy,False,eartby,ORTHOGRAPHIC,,,6,10,1
talkie-base,restricted,earthy,False,earthish,DERIVATIONAL,,undated,6,10,11
talkie-base,restricted,ebb,False,ebh,ORTHOGRAPHIC,,,3,1,1
talkie-base,restricted,ecologically,False,botanically,DERIVATIONAL,,undated,12,0,14
talkie-base,restricted,egoism,False,egoisme,ORTHOGRAPHIC,,,6,0,5
talkie-base,restricted,empiricist,False,experimentalist,DERIVATIONAL,,undated,10,0,10
talkie-base,restricted,empiricist,False,experimentalist,DERIVATIONAL,,undated,10,0,1
talkie-base,restricted,endoscopic,False,entoscopic,ORTHOGRAPHIC,,,10,0,1
talkie-base,restricted,endoscopic,False,endosopic,ORTHOGRAPHIC,,,10,0,1
talkie-base,restricted,endoscopic,False,mesoscopic,DERIVATIONAL,,undated,10,0,1
talkie-base,restricted,endoscopic,False,enscopic,ORTHOGRAPHIC,,,10,0,1
talkie-base,restricted,entreat,False,intreat,DERIVATIONAL,,undated,7,1,1
talkie-base,restricted,entreat,False,intreated,DERIVATIONAL,,undated,7,1,-1
talkie-base,restricted,etymology,True,glossology,DERIVATIONAL,,undated,9,0,5
talkie-base,restricted,etymology,True,onomatology,DERIVATIONAL,,undated,9,0,5
talkie-base,restricted,etymology,True,glottology,DERIVATIONAL,,undated,9,0,5
talkie-base,restricted,exciton,False,excitron,ORTHOGRAPHIC,,,7,0,86
talkie-base,restricted,eyelash,False,eyeash,ORTHOGRAPHIC,,,7,0,1
talkie-base,restricted,falcon,False,faulcon,ORTHOGRAPHIC,,,6,4,1
talkie-base,restricted,falcon,False,faloon,ORTHOGRAPHIC,,,6,4,1
talkie-base,restricted,falcon,False,falkon,ORTHOGRAPHIC,,,6,4,1
talkie-base,restricted,falcon,False,faleon,ORTHOGRAPHIC,,,6,4,1
talkie-base,restricted,ferric,False,ferrie,ORTHOGRAPHIC,,,6,0,1
talkie-base,restricted,ferric,False,ferri,ORTHOGRAPHIC,,,6,0,1
talkie-base,restricted,ferrite,False,sericite,DERIVATIONAL,,undated,7,0,-1
talkie-base,restricted,fibril,False,fibres,ORTHOGRAPHIC,,,6,0,36
talkie-base,restricted,fibril,False,fibrils,ORTHOGRAPHIC,,,6,0,36
talkie-base,restricted,fibril,False,fibrils,ORTHOGRAPHIC,,,6,0,-1
talkie-base,restricted,flag,False,flagge,ORTHOGRAPHIC,,,4,16,5
talkie-base,restricted,flammable,False,inflammabie,DERIVATIONAL,,undated,9,1,5
talkie-base,restricted,flammable,False,inflamable,DERIVATIONAL,,undated,9,1,5
talkie-base,restricted,flammable,False,infammable,DERIVATIONAL,,undated,9,1,5
talkie-base,restricted,fleet,False,fleete,ORTHOGRAPHIC,,,5,17,1
talkie-base,restricted,flit,False,flie,ORTHOGRAPHIC,,,4,0,12
talkie-base,restricted,footman,False,footboy,DERIVATIONAL,,undated,7,1,3
talkie-base,restricted,fray,False,fraye,ORTHOGRAPHIC,,,4,1,1
talkie-base,restricted,fresco,False,freſco,ORTHOGRAPHIC,,,6,8,3
talkie-base,restricted,frock,False,frocke,ORTHOGRAPHIC,,,5,2,1
talkie-base,restricted,frock,False,frecke,ORTHOGRAPHIC,,,5,2,1
talkie-base,restricted,frock,False,froc,ORTHOGRAPHIC,,,5,2,1
talkie-base,restricted,frock,False,trocke,DERIVATIONAL,,undated,5,2,1
talkie-base,restricted,frock,False,frockc,ORTHOGRAPHIC,,,5,2,1
talkie-base,restricted,fugue,False,fugne,ORTHOGRAPHIC,,,5,0,1
talkie-base,restricted,fugue,False,fughe,ORTHOGRAPHIC,,,5,0,1
talkie-base,restricted,fugue,False,fuguc,ORTHOGRAPHIC,,,5,0,1
talkie-base,restricted,fugue,False,fuguo,ORTHOGRAPHIC,,,5,0,1
talkie-base,restricted,gall,False,galle,ORTHOGRAPHIC,,,4,7,3
talkie-base,restricted,garland,False,garlande,ORTHOGRAPHIC,,,7,9,4
talkie-base,restricted,garland,False,garlandes,ORTHOGRAPHIC,,,7,9,5
talkie-base,restricted,generalist,False,generalists,ORTHOGRAPHIC,,,10,1,27
talkie-base,restricted,germanium,False,carolinium,DERIVATIONAL,,undated,9,8,1
talkie-base,restricted,glee,False,glees,ORTHOGRAPHIC,,,4,3,17
talkie-base,restricted,gout,False,goute,ORTHOGRAPHIC,,,4,2,38
talkie-base,restricted,grease,False,greas,ORTHOGRAPHIC,,,6,9,6
talkie-base,restricted,grease,False,greasd,ORTHOGRAPHIC,,,6,9,6
talkie-base,restricted,grease,False,greazed,ORTHOGRAPHIC,,,6,9,6
talkie-base,restricted,grease,False,greascd,ORTHOGRAPHIC,,,6,9,6
talkie-base,restricted,groin,False,groined,ORTHOGRAPHIC,,,5,4,88
talkie-base,restricted,groin,False,groining,ORTHOGRAPHIC,,,5,4,88
talkie-base,restricted,gust,False,gustes,ORTHOGRAPHIC,,,4,2,7
talkie-base,restricted,haploid,True,haploicl,ORTHOGRAPHIC,,,7,0,1
talkie-base,restricted,haploid,True,gametoid,DERIVATIONAL,,undated,7,0,1
talkie-base,restricted,harem,False,harema,ORTHOGRAPHIC,,,5,2,3
talkie-base,restricted,hateful,False,hatefull,ORTHOGRAPHIC,,,7,3,2
talkie-base,restricted,hateful,False,hatfull,ORTHOGRAPHIC,,,7,3,2
talkie-base,restricted,hazel,False,hasel,ORTHOGRAPHIC,,,5,2,6
talkie-base,restricted,hazel,False,hasell,ORTHOGRAPHIC,,,5,2,6
talkie-base,restricted,headway,False,headwav,ORTHOGRAPHIC,,,7,0,1
talkie-base,restricted,high,False,hig,ORTHOGRAPHIC,,,4,497,1
talkie-base,restricted,holocaust,False,holocast,ORTHOGRAPHIC,,,9,5,1
talkie-base,restricted,holocaust,False,holocust,ORTHOGRAPHIC,,,9,5,1
talkie-base,restricted,holocaust,False,holocaus,ORTHOGRAPHIC,,,9,5,1
talkie-base,restricted,holocaust,False,holocaut,ORTHOGRAPHIC,,,9,5,1
talkie-base,restricted,holocaust,False,holocost,ORTHOGRAPHIC,,,9,5,1
talkie-base,restricted,holocaust,False,holocause,ORTHOGRAPHIC,,,9,5,1
talkie-base,restricted,hyperbolic,False,hyperbolie,ORTHOGRAPHIC,,,10,2,1
talkie-base,restricted,hyperbolic,False,hyperbolio,ORTHOGRAPHIC,,,10,2,1
talkie-base,restricted,hyperbolic,False,hyperholic,ORTHOGRAPHIC,,,10,2,1
talkie-base,restricted,hypha,False,hyphæ,ORTHOGRAPHIC,,,5,0,69
talkie-base,restricted,identically,False,corporally,DERIVATIONAL,,undated,11,1,66
talkie-base,restricted,identically,False,corporeally,DERIVATIONAL,,undated,11,1,66
talkie-base,restricted,illumine,True,refraine,DERIVATIONAL,,undated,8,1,65
talkie-base,restricted,incongruous,False,incongruom,ORTHOGRAPHIC,,,11,1,1
talkie-base,restricted,incongruous,False,incongru,ORTHOGRAPHIC,,,11,1,1
talkie-base,restricted,indistinct,False,indistinctive,ORTHOGRAPHIC,,,10,1,1
talkie-base,restricted,indistinct,False,indiftinct,ORTHOGRAPHIC,,,10,1,1
talkie-base,restricted,infarct,False,infarctus,ORTHOGRAPHIC,,,7,1,1
talkie-base,restricted,inning,False,innins,ORTHOGRAPHIC,,,6,12,2
talkie-base,restricted,intern,False,interms,ORTHOGRAPHIC,,,6,2,9
talkie-base,restricted,intern,False,interncs,ORTHOGRAPHIC,,,6,2,9
talkie-base,restricted,invite,False,inwite,ORTHOGRAPHIC,,,6,11,1
talkie-base,restricted,isometric,False,isobaric,DERIVATIONAL,,undated,9,0,22
talkie-base,restricted,ivy,False,ivv,ORTHOGRAPHIC,,,3,9,1
talkie-base,restricted,ivy,False,iyy,ORTHOGRAPHIC,,,3,9,1
