id,candidates,form_n,meaning_n,theme,notes
Sc0fdeb3c,projection · transference · unconscious · self · repression · mental · intelligence · the · cognitive · personality,,,,
S01a1e904,very · in · a · up · as · the · all · like · on · an,,,,
S8eda1879,came · in · would · have · were · had · could · by · to · are,,,,
S10fa3962,sell · feature · retail · include · it · are · have · range · appeal · incorporate,,,,
Sc590cf61,groimd · woof · thread · web · frame · round · warp · wound · loom · ground,,,,
S914b0c6d,disappearance · becoming · disuse · abandonment · being · decline · replacement · displacement · gradual · adoption,,,,
S84f434e7,in · on · gait · stature · carriage · position · like · posture · form · attitude,,,,
Sb8d1c84a,instalment · series · priority · allotment · and · notice · installment · quota · payment · call,,,,
S187a12b6,analysis · retrograde · transformation · culture · cultivation · abortion · a · the · metamorphosis · reversion,,,,
S42aa5d63,reciprocal · principal · orthogonal · first · change · transformation · conjugate · general · integral · continuous,,,,
S5d8b0f1f,progresses · goes · becomes · continues · nears · develops · is · proceeds · advances · approaches,,,,
S0b76a055,antigens · c · sensitizers · hormones · indicators · x · the · vitamins · t · ions,,,,
Sd3ac47a9,into · by · yearly · and · for · to · as · which · in · towards,,,,
S6be660eb,research · and · methods · therapy · treatments · reactions · studies · tests · treatment · investigations,,,,
Sc7dc40f8,sound · theoretical · one · formula · dead · square · unit · theory · mathematical · capacity,,,,
S1f1b43fd,vasculitis · meningitis · dementia · multiple · encephalopathy · myelitis · encephalitis · hydrocephalus · cerebral · transverse,,,,
S48ae9a3d,hydrion · hydrogen · oh · oxygen · hydroxyl · ion · water · hydroxide · ionized · hydroxy,,,,
Sc6e43268,in · than · and · playing · opportunities · games · time · responsibility · at · money,,,,
S585fa14d,person · observed · author · spectator · writer · reader · man · observer · world · poet,,,,
S33474294,little · bodies · units · chromosomes · tiny · granules · particles · cells · living · minute,,,,
Sb8c87748,strange · positrion · positron · neutrino · positively · negatively · positive · p · pion · negative,,,,
S93d88e76,equal · woman · white · grandmotherly · quota · flapper · equality · sex · fair · women,,,,
S64990b44,of · a · to · i · all · on · in · at · the · out,,,,
S750cba1f,nodules · melanosis · melanomas · melanoma · neoplasms · nevi · naevi · pigmented · melanotic · tumours,,,,
Sd4c01d9e,charge · measures · and · contents · measure · of · quivers · charges · heads · draught,,,,
Sd7de38d8,infamous · apostate · informer · atheist · ass · enemy · arrant · old · impostor · heretick,,,,
S6a65464d,buck · yearling · fork · forks · spike · antlers · antler · first · spikes · button,,,,
Sda276c3c,send · be · make · go · put · get · have · take · know · say,,,,
Se287952c,analgesia · anesthesia · anaesthesia · sedation · hypnosis · a · relaxation · sleep · the · hypnotism,,,,
Sf5bb6b6e,fyer · smoke · same · fende · fyre · hote · flame · fyrst · fier · fire,,,,
Sa1945b46,attack · going · carrying · on · carry · cover · over · to · the · in,,,,
Sdbfb1530,spontaneous · two · a · an · the · double · polarity · organs · lateral · one,,,,
S6ff9d4db,check · medium · social · means · link · sort · connecting · general · clearing · kind,,,,
Sdaf8055d,sister · pappy · father · ma · woman · daddy · mother · mama · pa · wife,,,,
S2794a1f5,aims · flight · kind · flame · form · aim · views · fire · mould · frame,,,,
S4dedb4de,gradual · replacement · decline · displacement · being · disuse · supersession · disappearance · abandonment · extinction,,,,
S2ff6d55e,criminal · cruel · unjust · unfair · wrong · dishonest · impious · evil · wicked · corrupt,,,,
Saa60c1b2,lymphokines · intercellular · cell · growth · lymphokine · biologic · cytokines · inflammatory · tumor · immune,,,,
Se93701e7,myelitis · meningitis · acute · sclerosis · syphilitic · softening · encephalitis · syphilis · poliomyelitis · hemorrhagic,,,,
Sd2239f81,stroke · bar · line · horizontal · stem · preceding · cross · curve · pen · foot,,,,
S9e96de41,quibus · cujus · christo · nobis · qua · domine · d · quo · deo · domino,,,,
Sa02b77ea,current · flood · rhine · tide · rhone · river · seine · stream · course · torrent,,,,
S72ee32fe,brother · own · father · sister · mother · fodder · ma · and · wife · mudder,,,,
S2dc8cab6,plan · production · desired · sale · expected · business · operation · sales · expansion · growth,,,,
S9ae31c1a,anæsthesia · general · a · the · morphine · inhalation · hypnotism · anesthesia · other · hypnosis,,,,
S7ab38760,laplace · stokes · transformation · cauchy · green · generalized · strain · poisson · euler · lagrange,,,,
Sc410cc89,resolve · vote · opinion · determination · and · resolution · sentiment · concurrence · conclusion · consent,,,,
Sa1de3c67,division · degrees · careful · development · analysis · cleavage · a · the · which · metamorphosis,,,,
S73a75147,generic · program · module · routine · function · procedure · macro · library · sub · standard,,,,
Se8d98133,comedy · tv · television · host · comic · hosts · comics · comedians · comedian · talk,,,,
S07d4482c,position · point · doctrine · explanation · party · line · view · version · interpretation · explanations,,,,
S57219acc,or · and · type · nodes · reaction · tumor · cells · eye · cell · body,,,,
